ID,mass,moi,TVC_to_CG,kp,ki,kd,drop_alt,cd,cs,ign_alt
162,0.8266,0.196984,0.235,0.25,0.7,0.1,48.7,0.01,0.01,31.4
163,0.8266,0.196984,0.235,0.25,0.07,0.1,48.7,0.01,0.01,31.4
164,0.8266,0.196984,0.235,0.2,0.07,0.1,48.7,0.01,0.01,31.4
165,0.8266,0.196984,0.235,0.2,0.07,0.13,48.7,0.01,0.01,31.4
166,0.8266,0.196984,0.235,0.23,0.07,0.13,48.7,0.01,0.01,31.4
167,0.8266,0.196984,0.235,0.28,0.07,0.13,48.7,0.01,0.01,31.4
168,0.8266,0.196984,0.235,0.28,0.08,0.13,48.7,0.01,0.01,31.4
169,0.8266,0.196984,0.235,0.28,0.08,0.13,48.7,0.01,0.01,31.4
170,0.8266,0.196984,0.355,0.28,0.08,0.13,48.7,0.01,0.01,31.0
171,0.8266,0.196984,0.355,0.28,0.08,0.13,48.7,0.01,0.01,29.0
172,0.8266,0.196984,0.355,0.28,0.08,0.13,48.7,0.01,0.01,27.0
173,0.8266,0.196984,0.355,0.28,0.08,0.13,48.7,0.01,0.01,26.0
174,0.8266,0.196984,0.355,0.28,0.08,0.13,48.7,0.01,0.01,25.0
175,0.8266,0.196984,0.355,0.28,0.08,0.13,58.5,0.01,0.01,34.8
176,0.8266,0.196984,0.355,0.28,0.08,0.13,58.6,0.01,0.01,34.9
177,0.8266,0.196984,0.355,0.28,0.08,0.13,58.6,0.01,0.01,34.0
178,0.8266,0.196984,0.355,0.28,0.08,0.13,58.6,0.01,0.01,32.0
179,0.8266,0.196984,0.355,0.28,0.08,0.13,58.6,0.01,0.01,30.0
180,0.8266,0.196984,0.355,0.28,0.08,0.13,58.6,0.01,0.01,28.0
181,0.8266,0.196984,0.355,0.28,0.08,0.13,58.6,0.01,0.01,25.0
182,0.8266,0.196984,0.355,0.28,0.08,0.13,75.1,0.01,0.01,41.5
183,0.8266,0.196984,0.355,0.28,0.08,0.13,75.6,0.01,0.01,42.0
184,0.8266,0.196984,0.355,0.28,0.08,0.13,75.6,0.01,0.01,41.6
185,0.8266,0.196984,0.355,0.28,0.08,0.13,75.6,0.01,0.01,41.8
186,0.8266,0.196984,0.355,0.28,0.08,0.13,75.6,0.01,0.01,41.8
187,0.8266,0.196984,0.355,0.28,0.08,0.13,75.6,0.01,0.01,42.0
188,0.8266,0.196984,0.355,0.28,0.08,0.13,75.6,0.01,0.01,41.9
